language_1,language_2,jaccard,model,source
ko,ig,0.02086230876216968,llama3,canonical_active
ru,ig,0.018610421836228287,llama3,canonical_active
tr,ig,0.0799475753604194,llama3,canonical_active
ur,ig,0.022336769759450172,llama3,canonical_active
yo,ig,0.17611336032388664,llama3,canonical_active
de,it,0.06564551422319474,llama3,canonical_active
en,it,0.053691275167785234,llama3,canonical_active
hi,it,0.01797175866495507,llama3,canonical_active
ig,it,0.08,llama3,canonical_active
it,it,1.0,llama3,canonical_active
ko,it,0.015855039637599093,llama3,canonical_active
ru,it,0.015479876160990712,llama3,canonical_active
tr,it,0.06818181818181818,llama3,canonical_active
ur,it,0.0160857908847185,llama3,canonical_active
yo,it,0.0782608695652174,llama3,canonical_active
de,ko,0.015367727771679473,llama3,canonical_active
en,ko,0.019390581717451522,llama3,canonical_active
hi,ko,0.01639344262295082,llama3,canonical_active
ig,ko,0.02086230876216968,llama3,canonical_active
it,ko,0.015855039637599093,llama3,canonical_active
ko,ko,1.0,llama3,canonical_active
ru,ko,0.014099783080260303,llama3,canonical_active
tr,ko,0.015151515151515152,llama3,canonical_active
ur,ko,0.015759312320916905,llama3,canonical_active
yo,ko,0.025073746312684365,llama3,canonical_active
de,ru,0.015045135406218655,llama3,canonical_active
en,ru,0.018564356435643563,llama3,canonical_active
hi,ru,0.01589242053789731,llama3,canonical_active
ig,ru,0.018610421836228287,llama3,canonical_active
it,ru,0.015479876160990712,llama3,canonical_active
ko,ru,0.014099783080260303,llama3,canonical_active
ru,ru,1.0,llama3,canonical_active
tr,ru,0.01485148514851485,llama3,canonical_active
ur,ru,0.014012738853503185,llama3,canonical_active
yo,ru,0.01955671447196871,llama3,canonical_active
de,tr,0.058394160583941604,llama3,canonical_active
en,tr,0.03638644918444166,llama3,canonical_active
hi,tr,0.01707317073170732,llama3,canonical_active
ig,tr,0.0799475753604194,llama3,canonical_active
it,tr,0.06818181818181818,llama3,canonical_active
ko,tr,0.015151515151515152,llama3,canonical_active
ru,tr,0.01485148514851485,llama3,canonical_active
tr,tr,1.0,llama3,canonical_active
ur,tr,0.015247776365946633,llama3,canonical_active
yo,tr,0.08575380359612725,llama3,canonical_active
de,ur,0.015503875968992248,llama3,canonical_active
en,ur,0.020512820512820513,llama3,canonical_active
hi,ur,0.02023608768971332,llama3,canonical_active
ig,ur,0.022336769759450172,llama3,canonical_active
it,ur,0.0160857908847185,llama3,canonical_active
ko,ur,0.015759312320916905,llama3,canonical_active
ru,ur,0.014012738853503185,llama3,canonical_active
tr,ur,0.015247776365946633,llama3,canonical_active
ur,ur,1.0,llama3,canonical_active
yo,ur,0.027726432532347505,llama3,canonical_active
de,yo,0.06336088154269973,llama3,canonical_active
en,yo,0.052346570397111915,llama3,canonical_active
hi,yo,0.024263431542461005,llama3,canonical_active
ig,yo,0.17611336032388664,llama3,canonical_active
it,yo,0.0782608695652174,llama3,canonical_active
ko,yo,0.025073746312684365,llama3,canonical_active
ru,yo,0.01955671447196871,llama3,canonical_active
tr,yo,0.08575380359612725,llama3,canonical_active
ur,yo,0.027726432532347505,llama3,canonical_active
yo,yo,1.0,llama3,canonical_active
de,de,1.0,llama3,canonical_revoked
en,de,0.03802281368821293,llama3,canonical_revoked
hi,de,0.017220172201722016,llama3,canonical_revoked
ig,de,0.08179419525065963,llama3,canonical_revoked
it,de,0.06608884073672806,llama3,canonical_revoked
ko,de,0.015267175572519083,llama3,canonical_revoked
ru,de,0.014955134596211365,llama3,canonical_revoked
tr,de,0.05991735537190083,llama3,canonical_revoked
ur,de,0.015286624203821656,llama3,canonical_revoked
yo,de,0.06412005457025921,llama3,canonical_revoked
de,en,0.03802281368821293,llama3,canonical_revoked
en,en,1.0,llama3,canonical_revoked
hi,en,0.022653721682847898,llama3,canonical_revoked
ig,en,0.05574324324324324,llama3,canonical_revoked
it,en,0.05481283422459893,llama3,canonical_revoked
ko,en,0.019390581717451522,llama3,canonical_revoked
ru,en,0.018564356435643563,llama3,canonical_revoked
tr,en,0.03615960099750624,llama3,canonical_revoked
ur,en,0.020338983050847456,llama3,canonical_revoked
yo,en,0.05026929982046679,llama3,canonical_revoked
de,hi,0.017220172201722016,llama3,canonical_revoked
en,hi,0.022653721682847898,llama3,canonical_revoked
hi,hi,1.0,llama3,canonical_revoked
ig,hi,0.022617124394184167,llama3,canonical_revoked
it,hi,0.017879948914431672,llama3,canonical_revoked
ko,hi,0.01639344262295082,llama3,canonical_revoked
ru,hi,0.01589242053789731,llama3,canonical_revoked
tr,hi,0.01696969696969697,llama3,canonical_revoked
ur,hi,0.020066889632107024,llama3,canonical_revoked
yo,hi,0.024179620034542316,llama3,canonical_revoked
de,ig,0.08179419525065963,llama3,canonical_revoked
en,ig,0.05574324324324324,llama3,canonical_revoked
hi,ig,0.022617124394184167,llama3,canonical_revoked
ig,ig,1.0,llama3,canonical_revoked
it,ig,0.08071135430916553,llama3,canonical_revoked
